Date,Description,Amount
2024-01-05,Bank Fee - Monthly,25.00
2024-01-08,Office Supplies Inc,342.50
2024-01-12,Cloud Hosting Co,1200.00
2024-01-15,Payroll - Salaries,45000.00
2024-01-18,Acme Software License,599.00
2024-01-22,Electric Company,890.25
2024-01-25,Vendor ABC Payment,1500.00
2024-01-28,Insurance Premium,2100.00
2024-02-02,Bank Fee - Monthly,25.00
2024-02-10,Office Supplies Inc,198.75
2024-02-14,Cloud Hosting Co,1200.00
2024-02-20,Acme Software License,599.00
2024-02-25,Vendor XYZ - Consulting,3500.00
